name,auditor,CG,index,sector,free_float,is_trust
INET,C&A ACCOUNTING FIRM,4,['SET'],Information & Communication Technology,50.51,False
INGRS,EY OFFICE LIMITED,0,['SET'],Automotive,39.43,False
INOX,KPMG PHOOMCHAI AUDIT LIMITED,3,['SET'],Steel,15.31,False
INSET,"ANS AUDIT CO., LTD.",3,['mai'],Technology,39.06,False
INSURE,KPMG PHOOMCHAI AUDIT LIMITED,4,['SET'],Insurance,24.92,False
INTUCH,"DELOITTE TOUCHE TOHMATSU JAIYOS  AUDIT CO., LTD.",5,"['SET50', 'SETCLMV', 'SETHD', 'SETTHSI']",Information & Communication Technology,63.21,False
IP,EY OFFICE LIMITED,3,['mai'],Consumer Products,42.66,False
IRC,PRICEWATERHOUSE COOPERS ABAS LIMITED,4,['SET'],Automotive,23.63,False
IRCP,"DHARMNITI AUDITING CO., LTD.",4,['mai'],Technology,80.79,False
IRPC,"DELOITTE TOUCHE TOHMATSU JAIYOS  AUDIT CO., LTD.",5,"['SET100', 'SETCLMV', 'SETTHSI']",Energy & Utilities,52.44,False
IT,EY OFFICE LIMITED,4,['SET'],Commerce,40.50,False
ITD,"GRANT THORNTON CO., LTD.",4,['sSET'],Construction Services,77.06,False
ITEL,PRICEWATERHOUSE COOPERS ABAS LIMITED,4,['mai'],Technology,36.59,False
IVL,KPMG PHOOMCHAI AUDIT LIMITED,5,"['SET50', 'SETHD', 'SETTHSI']",Petrochemicals & Chemicals,35.11,False
J,EY OFFICE LIMITED,4,['SET'],Property Development,22.56,False
JAK,"DELOITTE TOUCHE TOHMATSU JAIYOS  AUDIT CO., LTD.",0,['mai'],Property & Construction,26.99,False
JAS,EY OFFICE LIMITED,4,['SET100'],Information & Communication Technology,44.61,False
JASIF,EY OFFICE LIMITED,0,['SET'],Information & Communication Technology,73.91,True
JCK,EY OFFICE LIMITED,4,['sSET'],Property Development,44.17,False
JCKH,EY OFFICE LIMITED,4,['mai'],Agro & Food Industry,55.06,False
JCT,"DHARMNITI AUDITING CO., LTD.",0,['SET'],Personal Products & Pharmaceuticals,25.51,False
JKN,"DHARMNITI AUDITING CO., LTD.",5,['sSET'],Media & Publishing,35.14,False
JMART,EY OFFICE LIMITED,4,['SET100'],Information & Communication Technology,53.92,False
JMT,EY OFFICE LIMITED,4,['SET100'],Finance & Securities,47.09,False
JR,EY OFFICE LIMITED,0,['SET'],Information & Communication Technology,42.93,False
JSP,KPMG PHOOMCHAI AUDIT LIMITED,5,['mai'],Property & Construction,56.68,False
JTS,EY OFFICE LIMITED,3,['SET'],Information & Communication Technology,34.15,False
JUBILE,PV AUDIT COMPANY LIMITED,3,['mai'],Consumer Products,45.00,False
JUTHA,"D I A INTERNATIONAL AUDIT CO.,LTD.",0,['SET'],Transportation & Logistics,52.52,False
JWD,KPMG PHOOMCHAI AUDIT LIMITED,5,"['sSET', 'SETTHSI']",Transportation & Logistics,41.21,False
K,"AST MASTER CO., LTD.",5,['mai'],Property & Construction,45.71,False
KAMART,EY OFFICE LIMITED,0,['sSET'],Commerce,72.61,False
KASET,C&A ACCOUNTING FIRM,3,['mai'],Agro & Food Industry,27.09,False
KBANK,KPMG PHOOMCHAI AUDIT LIMITED,5,"['SET50', 'SETCLMV', 'SETHD', 'SETTHSI']",Banking,74.48,False
KBS,EY OFFICE LIMITED,4,['SET'],Food & Beverage,40.07,False
KBSPIF,EY OFFICE LIMITED,0,['SET'],Energy & Utilities,84.68,True
KC,"D I A INTERNATIONAL AUDIT CO.,LTD.",0,['SET'],Property Development,62.46,False
KCAR,"DHARMNITI AUDITING CO., LTD.",4,['SET'],Finance & Securities,26.50,False
KCE,KPMG PHOOMCHAI AUDIT LIMITED,5,['SET100'],Electronic Components,58.08,False
KCM,"ANS AUDIT CO., LTD.",3,['mai'],Industrial,29.38,False
KDH,EY OFFICE LIMITED,0,['SET'],Health Care Services,35.94,False
KEX,PRICEWATERHOUSE COOPERS ABAS LIMITED,0,['SET'],Transportation & Logistics,25.10,False
KGI,"DELOITTE TOUCHE TOHMATSU JAIYOS  AUDIT CO., LTD.",4,['sSET'],Finance & Securities,65.02,False
KIAT,"ANS AUDIT CO., LTD.",4,['mai'],Services,45.72,False
KISS,PRICEWATERHOUSE COOPERS ABAS LIMITED,0,['SET'],Personal Products & Pharmaceuticals,25.00,False
KK,PV AUDIT COMPANY LIMITED,0,['mai'],Services,33.72,False
KKC,EY OFFICE LIMITED,3,['SET'],Industrial Materials & Machinery,48.15,False
KKP,PRICEWATERHOUSE COOPERS ABAS LIMITED,5,"['SET100', 'SETCLMV', 'SETHD', 'SETTHSI']",Banking,86.89,False
KOOL,C&A ACCOUNTING FIRM,4,['mai'],Services,47.87,False
KPNPF,"GRANT THORNTON CO., LTD.",0,['SET'],Property Fund & REITs,No Data,True
KSL,"DELOITTE TOUCHE TOHMATSU JAIYOS  AUDIT CO., LTD.",5,"['sSET', 'SETCLMV']",Food & Beverage,27.81,False
KTB,EY OFFICE LIMITED,5,"['SET50', 'SETHD', 'SETTHSI']",Banking,44.93,False
KTC,"DELOITTE TOUCHE TOHMATSU JAIYOS  AUDIT CO., LTD.",5,"['SET50', 'SETTHSI']",Finance & Securities,40.45,False
KTIS,EY OFFICE LIMITED,4,['SET'],Food & Beverage,20.73,False
KUMWEL,"D I A INTERNATIONAL AUDIT CO.,LTD.",3,['mai'],Industrial,33.09,False
KUN,PRICEWATERHOUSE COOPERS ABAS LIMITED,3,['mai'],Property & Construction,40.96,False
KWC,DR.VIRACH AND ASSOCIATES,4,['SET'],Transportation & Logistics,64.56,False
KWG,"DELOITTE TOUCHE TOHMATSU JAIYOS  AUDIT CO., LTD.",3,['SET'],Property Development,14.13,False
KWM,"M.R. & ASSOCIATES CO., LTD.",4,['mai'],Industrial,26.40,False
KYE,KPMG PHOOMCHAI AUDIT LIMITED,3,['SET'],Home & Office Products,29.50,False
L&E,KPMG PHOOMCHAI AUDIT LIMITED,4,['SET'],Home & Office Products,36.08,False
LALIN,CWWP COMPANY COMPANY LIMITED,4,['sSET'],Property Development,29.85,False
LANNA,EY OFFICE LIMITED,5,['sSET'],Energy & Utilities,24.40,False
LDC,"D I A INTERNATIONAL AUDIT CO.,LTD.",4,['mai'],Services,37.97,False
LEE,EY OFFICE LIMITED,3,['SET'],Agribusiness,48.57,False
LEO,KPMG PHOOMCHAI AUDIT LIMITED,0,['mai'],Services,40.99,False
LH,EY OFFICE LIMITED,5,"['SET50', 'SETHD']",Property Development,69.40,False
LHFG,EY OFFICE LIMITED,5,['SET'],Banking,16.84,False
LHHOTEL,EY OFFICE LIMITED,0,['SET'],Property Fund & REITs,84.75,True
